row_label,strat_type,sex,breakdown_cat,value,breakdown_var,outcome_var,table_id,nuts1
F - Costruzioni,sector,Total,upper secondary,13.5,education,hourly_wage,Tav.1,NA
F - Costruzioni,sector,Total,tertiary,18.8,education,hourly_wage,Tav.1,NA
F - Costruzioni,sector,Total,total,13.7,education,hourly_wage,Tav.1,NA
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Female,≤ lower secondary,10.9,education,hourly_wage,Tav.1,NA
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Female,upper secondary,11.8,education,hourly_wage,Tav.1,NA
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Female,tertiary,16.3,education,hourly_wage,Tav.1,NA
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Female,total,12.5,education,hourly_wage,Tav.1,NA
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Male,≤ lower secondary,12.2,education,hourly_wage,Tav.1,NA
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Male,upper secondary,14.4,education,hourly_wage,Tav.1,NA
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Male,tertiary,22.3,education,hourly_wage,Tav.1,NA
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Male,total,14.8,education,hourly_wage,Tav.1,NA
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Total,≤ lower secondary,11.7,education,hourly_wage,Tav.1,NA
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Total,upper secondary,13.1,education,hourly_wage,Tav.1,NA
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Total,tertiary,19.1,education,hourly_wage,Tav.1,NA
G - Commercio all'ingrosso e al dettaglio; riparazione di autoveicoli e motocicli,sector,Total,total,13.7,education,hourly_wage,Tav.1,NA
H - Trasporto e magazzinaggio,sector,Female,≤ lower secondary,11,education,hourly_wage,Tav.1,NA
H - Trasporto e magazzinaggio,sector,Female,upper secondary,13.3,education,hourly_wage,Tav.1,NA
H - Trasporto e magazzinaggio,sector,Female,tertiary,15.6,education,hourly_wage,Tav.1,NA
